time,date,ip,log,label
18:19:25,12-04-2026,45.76.212.250,failed login attempt then success,normal
18:19:26,12-04-2026,218.223.250.64,cache hit for request,normal
18:19:27,12-04-2026,87.55.211.18,user profile loaded,normal
18:19:28,12-04-2026,71.61.89.100,brief database connection retry success,normal
18:19:29,12-04-2026,208.72.74.208,cache hit for request,normal
18:19:30,12-04-2026,26.148.127.38,password verified successfully,normal
18:19:31,12-04-2026,142.81.51.117,password verified successfully,normal
18:19:32,12-04-2026,33.152.51.178,user profile loaded,normal
18:19:33,12-04-2026,203.0.113.42,infinite retry loop detected,infinite_retry
18:19:34,12-04-2026,138.171.135.141,failed login attempt then success,normal
18:19:35,12-04-2026,51.185.17.166,login from new ip verified,normal
18:19:36,12-04-2026,72.143.176.55,token refreshed successfully,normal
18:19:37,12-04-2026,229.232.112.198,brief database connection retry success,normal
18:19:38,12-04-2026,226.53.6.38,request processed successfully,normal
18:19:39,12-04-2026,38.143.62.148,api call completed,normal
18:19:40,12-04-2026,48.26.189.91,session started,normal
18:19:41,12-04-2026,210.62.15.173,query executed successfully,normal
18:19:42,12-04-2026,246.242.126.16,password verified successfully,normal
18:19:43,12-04-2026,203.0.113.42,data exfiltration large file transfer 2gb,data_exfiltration
18:19:44,12-04-2026,46.170.105.232,cache hit for request,normal
18:19:45,12-04-2026,72.143.176.55,session closed normally,normal
18:19:46,12-04-2026,46.106.37.209,login from new ip verified,normal
18:19:47,12-04-2026,87.55.211.18,normal authentication success,normal
18:19:48,12-04-2026,207.50.162.192,login successful,normal
18:19:49,12-04-2026,19.20.123.102,session reopened after timeout,normal
18:19:50,12-04-2026,87.55.211.18,normal authentication success,normal
18:19:51,12-04-2026,72.143.176.55,token refreshed successfully,normal
18:19:52,12-04-2026,51.185.17.166,request processed successfully,normal
18:19:53,12-04-2026,45.33.32.156,database connection failed repeatedly,db_failure
18:19:54,12-04-2026,201.207.59.205,token refreshed successfully,normal
18:19:55,12-04-2026,182.243.140.180,password verified successfully,normal
18:19:56,12-04-2026,127.198.191.76,api call completed,normal
18:19:57,12-04-2026,45.76.212.250,failed login attempt then success,normal
18:19:58,12-04-2026,127.198.191.76,user profile loaded,normal
18:19:59,12-04-2026,48.26.189.91,file read successfully,normal
18:20:00,12-04-2026,207.50.162.192,login from new ip verified,normal
18:20:01,12-04-2026,19.20.123.102,cache hit for request,normal
18:20:02,12-04-2026,71.61.89.100,user logged out,normal
18:20:03,12-04-2026,203.0.113.42,privilege escalation attempt root access,privilege_escalation
18:20:04,12-04-2026,45.76.212.250,connection established successfully,normal
18:20:05,12-04-2026,33.152.51.178,brief database connection retry success,normal
18:20:06,12-04-2026,136.155.163.202,password verified successfully,normal
18:20:07,12-04-2026,176.141.232.115,user logged out,normal
18:20:08,12-04-2026,33.152.51.178,data fetched from database,normal
18:20:09,12-04-2026,165.158.93.160,session closed normally,normal
18:20:10,12-04-2026,48.26.189.91,session closed normally,normal
18:20:11,12-04-2026,164.24.157.210,request processed successfully,normal
18:20:12,12-04-2026,246.242.126.16,failed login attempt then success,normal
18:20:13,12-04-2026,192.168.66.66,failed login attempt,brute_force
18:20:14,12-04-2026,218.223.250.64,user logged out,normal
18:20:15,12-04-2026,176.202.13.213,session closed normally,normal
18:20:16,12-04-2026,45.76.212.250,session closed normally,normal
18:20:17,12-04-2026,174.14.64.234,user logged out,normal
18:20:18,12-04-2026,25.193.35.60,token refreshed successfully,normal
18:20:19,12-04-2026,35.95.101.46,user profile loaded,normal
18:20:20,12-04-2026,71.61.89.100,login from new ip verified,normal
18:20:21,12-04-2026,105.249.65.234,session closed normally,normal
18:20:22,12-04-2026,167.191.211.39,cache hit for request,normal
18:20:23,12-04-2026,103.21.244.0,data exfiltration large file transfer 2gb,data_exfiltration
18:20:24,12-04-2026,242.59.211.139,password verified successfully,normal
18:20:25,12-04-2026,37.108.227.153,session closed normally,normal
18:20:26,12-04-2026,33.152.51.178,data fetched from database,normal
18:20:27,12-04-2026,108.227.121.91,cache hit for request,normal
18:20:28,12-04-2026,242.59.211.139,file read successfully,normal
18:20:29,12-04-2026,176.202.13.213,login from new ip verified,normal
18:20:30,12-04-2026,71.61.89.100,query executed successfully,normal
18:20:31,12-04-2026,226.53.6.38,login from new ip verified,normal
18:20:32,12-04-2026,195.88.11.40,query executed successfully,normal
18:20:33,12-04-2026,203.0.113.42,failed login attempt,brute_force
18:20:35,12-04-2026,167.191.211.39,query executed successfully,normal
18:20:36,12-04-2026,226.53.6.38,api call completed,normal
18:20:37,12-04-2026,136.85.132.219,token refreshed successfully,normal
18:20:38,12-04-2026,138.171.135.141,failed login attempt then success,normal
18:20:39,12-04-2026,87.55.211.18,user logged out,normal
18:20:40,12-04-2026,176.202.13.213,login from new ip verified,normal
18:20:41,12-04-2026,45.76.212.250,login from new ip verified,normal
18:20:42,12-04-2026,176.202.13.213,user logged out,normal
18:20:43,12-04-2026,167.191.211.39,request processed successfully,normal
18:20:44,12-04-2026,45.33.32.156,failed login attempt,brute_force
18:20:45,12-04-2026,105.249.65.234,cache hit for request,normal
18:20:46,12-04-2026,19.20.123.102,request processed successfully,normal
18:20:47,12-04-2026,229.232.112.198,request processed successfully,normal
18:20:48,12-04-2026,108.227.121.91,connection established successfully,normal
18:20:49,12-04-2026,38.143.62.148,login successful,normal
18:20:50,12-04-2026,176.202.13.213,login from new ip verified,normal
18:20:51,12-04-2026,242.59.211.139,session started,normal
18:20:52,12-04-2026,226.53.6.38,file read successfully,normal
18:20:53,12-04-2026,176.141.232.115,session reopened after timeout,normal
18:20:54,12-04-2026,192.168.66.66,failed login attempt,brute_force
18:20:55,12-04-2026,224.191.139.233,query executed successfully,normal
18:20:56,12-04-2026,229.232.112.198,session reopened after timeout,normal
18:20:57,12-04-2026,226.53.6.38,password verified successfully,normal
18:20:58,12-04-2026,226.53.6.38,request processed successfully,normal
18:20:59,12-04-2026,31.143.127.173,user profile loaded,normal
18:21:00,12-04-2026,229.232.112.198,normal authentication success,normal
18:21:01,12-04-2026,72.143.176.55,login successful,normal
18:21:02,12-04-2026,71.61.89.100,connection established successfully,normal
18:21:03,12-04-2026,19.20.123.102,session closed normally,normal
18:21:04,12-04-2026,192.168.66.66,database connection failed repeatedly,db_failure
18:21:05,12-04-2026,72.143.176.55,password verified successfully,normal
18:21:06,12-04-2026,138.171.135.141,session started,normal
18:21:07,12-04-2026,176.202.13.213,session started,normal
18:21:08,12-04-2026,71.61.89.100,failed login attempt then success,normal
18:21:09,12-04-2026,142.81.51.117,user logged out,normal
18:21:10,12-04-2026,37.217.165.38,brief database connection retry success,normal
18:21:11,12-04-2026,19.20.123.102,user logged out,normal
18:21:12,12-04-2026,35.95.101.46,api call completed,normal
18:21:13,12-04-2026,174.14.64.234,request processed successfully,normal
18:21:14,12-04-2026,45.33.32.156,port scanning detected multiple ports,port_scan
18:21:15,12-04-2026,37.217.165.38,file read successfully,normal
18:21:16,12-04-2026,207.50.162.192,login successful,normal
18:21:17,12-04-2026,153.181.113.22,login from new ip verified,normal
18:21:18,12-04-2026,31.143.127.173,session started,normal
18:21:19,12-04-2026,71.61.89.100,query executed successfully,normal
18:21:20,12-04-2026,178.17.243.30,session started,normal
18:21:21,12-04-2026,142.81.51.117,user logged out,normal
18:21:22,12-04-2026,31.143.127.173,session closed normally,normal
18:21:23,12-04-2026,46.106.37.209,data fetched from database,normal
18:21:24,12-04-2026,203.0.113.42,unauthorized access attempt detected,unauthorized_access
18:21:25,12-04-2026,210.62.15.173,login successful,normal
18:21:26,12-04-2026,99.217.173.185,session closed normally,normal
18:21:27,12-04-2026,229.232.112.198,session started,normal
18:21:28,12-04-2026,242.59.211.139,failed login attempt then success,normal
18:21:29,12-04-2026,46.170.105.232,api call completed,normal
18:21:30,12-04-2026,201.207.59.205,token refreshed successfully,normal
18:21:31,12-04-2026,182.243.140.180,session closed normally,normal
18:21:32,12-04-2026,19.20.123.102,login from new ip verified,normal
18:21:33,12-04-2026,218.223.250.64,connection established successfully,normal
18:21:34,12-04-2026,103.21.244.0,memory overflow critical error,memory_overflow
18:21:35,12-04-2026,37.217.165.38,cache hit for request,normal
18:21:36,12-04-2026,136.155.163.202,request processed successfully,normal
18:21:37,12-04-2026,46.170.105.232,query executed successfully,normal
18:21:38,12-04-2026,224.191.139.233,normal authentication success,normal
18:21:39,12-04-2026,51.185.17.166,query executed successfully,normal
18:21:40,12-04-2026,174.14.64.234,session started,normal
18:21:41,12-04-2026,25.193.35.60,request processed successfully,normal
18:21:42,12-04-2026,35.95.101.46,user profile loaded,normal
18:21:43,12-04-2026,207.50.162.192,session started,normal
18:21:44,12-04-2026,103.21.244.0,multiple session spam from single ip,session_spam
18:21:45,12-04-2026,71.61.89.100,data fetched from database,normal
18:21:46,12-04-2026,226.53.6.38,api call completed,normal
18:21:47,12-04-2026,25.193.35.60,data fetched from database,normal
18:21:48,12-04-2026,51.185.17.166,api call completed,normal
18:21:49,12-04-2026,72.143.176.55,connection established successfully,normal
18:21:50,12-04-2026,182.75.121.20,cache hit for request,normal
18:21:51,12-04-2026,25.193.35.60,brief database connection retry success,normal
18:21:52,12-04-2026,25.193.35.60,connection established successfully,normal
18:21:53,12-04-2026,19.20.123.102,file read successfully,normal
18:21:54,12-04-2026,103.21.244.0,data exfiltration large file transfer 2gb,data_exfiltration
18:21:55,12-04-2026,130.176.115.56,request processed successfully,normal
18:21:56,12-04-2026,37.108.227.153,request processed successfully,normal
18:21:57,12-04-2026,35.95.101.46,cache hit for request,normal
18:21:58,12-04-2026,48.27.75.83,connection established successfully,normal
18:21:59,12-04-2026,218.223.250.64,normal authentication success,normal
18:22:00,12-04-2026,19.20.123.102,session reopened after timeout,normal
18:22:01,12-04-2026,72.143.176.55,login from new ip verified,normal
18:22:02,12-04-2026,201.207.59.205,connection established successfully,normal
18:22:03,12-04-2026,71.61.89.100,session started,normal
18:22:04,12-04-2026,45.33.32.156,system crash detected kernel panic,system_crash
18:22:05,12-04-2026,165.158.93.160,user logged out,normal
18:22:06,12-04-2026,35.95.101.46,api call completed,normal
18:22:07,12-04-2026,35.95.101.46,query executed successfully,normal
18:22:08,12-04-2026,224.191.139.233,normal authentication success,normal
18:22:09,12-04-2026,226.53.6.38,data fetched from database,normal
18:22:10,12-04-2026,136.155.163.202,query executed successfully,normal
18:22:11,12-04-2026,72.143.176.55,login from new ip verified,normal
18:22:12,12-04-2026,99.217.173.185,brief database connection retry success,normal
18:22:13,12-04-2026,176.141.232.115,brief database connection retry success,normal
18:22:14,12-04-2026,203.0.113.42,port scanning detected multiple ports,port_scan
18:22:15,12-04-2026,176.202.13.213,file read successfully,normal
18:22:16,12-04-2026,45.76.212.250,file read successfully,normal
18:22:17,12-04-2026,153.181.113.22,cache hit for request,normal
18:22:18,12-04-2026,138.171.135.141,session reopened after timeout,normal
18:22:19,12-04-2026,207.50.162.192,normal authentication success,normal
18:22:20,12-04-2026,99.217.173.185,request processed successfully,normal
18:22:21,12-04-2026,182.75.121.20,api call completed,normal
18:22:22,12-04-2026,201.207.59.205,cache hit for request,normal
18:22:23,12-04-2026,226.53.6.38,request processed successfully,normal
18:22:24,12-04-2026,203.0.113.42,privilege escalation attempt root access,privilege_escalation
18:22:25,12-04-2026,51.185.17.166,brief database connection retry success,normal
18:22:26,12-04-2026,224.191.139.233,password verified successfully,normal
18:22:27,12-04-2026,25.193.35.60,user logged out,normal
18:22:28,12-04-2026,174.14.64.234,failed login attempt then success,normal
18:22:29,12-04-2026,35.95.101.46,session closed normally,normal
18:22:30,12-04-2026,226.53.6.38,user profile loaded,normal
18:22:31,12-04-2026,182.75.121.20,user logged out,normal
18:22:32,12-04-2026,208.72.74.208,session reopened after timeout,normal
18:22:33,12-04-2026,178.17.243.30,session reopened after timeout,normal
18:22:34,12-04-2026,45.33.32.156,data exfiltration large file transfer 2gb,data_exfiltration
18:22:35,12-04-2026,48.26.189.91,failed login attempt then success,normal
18:22:36,12-04-2026,105.249.65.234,session reopened after timeout,normal
18:22:37,12-04-2026,71.61.89.100,failed login attempt then success,normal
18:22:38,12-04-2026,210.62.15.173,user logged out,normal
18:22:39,12-04-2026,26.148.127.38,token refreshed successfully,normal
18:22:40,12-04-2026,153.181.113.22,api call completed,normal
18:22:41,12-04-2026,165.158.93.160,data fetched from database,normal
18:22:42,12-04-2026,242.59.211.139,file read successfully,normal
18:22:43,12-04-2026,182.243.140.180,session started,normal
18:22:44,12-04-2026,203.0.113.42,infinite retry loop detected,infinite_retry
18:22:45,12-04-2026,207.50.162.192,brief database connection retry success,normal
18:22:46,12-04-2026,226.53.6.38,api call completed,normal
18:22:47,12-04-2026,71.61.89.100,cache hit for request,normal
18:22:48,12-04-2026,45.76.212.250,data fetched from database,normal
18:22:49,12-04-2026,182.75.121.20,connection established successfully,normal
18:22:50,12-04-2026,226.53.6.38,user profile loaded,normal
18:22:51,12-04-2026,71.61.89.100,api call completed,normal
18:22:52,12-04-2026,138.171.135.141,login successful,normal
18:22:53,12-04-2026,176.202.13.213,query executed successfully,normal
18:22:54,12-04-2026,203.0.113.42,system crash detected kernel panic,system_crash
18:22:55,12-04-2026,138.171.135.141,data fetched from database,normal
18:22:56,12-04-2026,33.152.51.178,normal authentication success,normal
18:22:57,12-04-2026,48.27.75.83,connection established successfully,normal
18:22:58,12-04-2026,207.50.162.192,data fetched from database,normal
18:22:59,12-04-2026,229.232.112.198,cache hit for request,normal
18:23:00,12-04-2026,178.17.243.30,query executed successfully,normal
18:23:01,12-04-2026,208.72.74.208,user logged out,normal
18:23:03,12-04-2026,176.141.232.115,brief database connection retry success,normal
18:23:04,12-04-2026,242.59.211.139,brief database connection retry success,normal
18:23:05,12-04-2026,198.51.100.1,sql injection attempt detected,sql_injection
18:23:06,12-04-2026,210.62.15.173,user logged out,normal
18:23:07,12-04-2026,178.17.243.30,session closed normally,normal
18:23:08,12-04-2026,71.61.89.100,request processed successfully,normal
18:23:09,12-04-2026,224.191.139.233,cache hit for request,normal
18:23:10,12-04-2026,130.176.115.56,session reopened after timeout,normal
18:23:11,12-04-2026,33.152.51.178,user logged out,normal
18:23:12,12-04-2026,182.243.140.180,session closed normally,normal
18:23:13,12-04-2026,224.191.139.233,data fetched from database,normal
18:23:14,12-04-2026,164.24.157.210,session reopened after timeout,normal
18:23:15,12-04-2026,103.21.244.0,data exfiltration large file transfer 2gb,data_exfiltration
18:23:16,12-04-2026,33.152.51.178,query executed successfully,normal
18:23:17,12-04-2026,136.85.132.219,login successful,normal
18:23:18,12-04-2026,153.181.113.22,data fetched from database,normal
18:23:19,12-04-2026,51.185.17.166,token refreshed successfully,normal
18:23:20,12-04-2026,46.170.105.232,api call completed,normal
18:23:21,12-04-2026,19.20.123.102,query executed successfully,normal
18:23:22,12-04-2026,195.88.11.40,query executed successfully,normal
18:23:23,12-04-2026,48.27.75.83,session closed normally,normal
18:23:24,12-04-2026,226.53.6.38,query executed successfully,normal
18:23:25,12-04-2026,192.168.66.66,sql injection attempt detected,sql_injection
18:23:26,12-04-2026,169.202.181.68,user profile loaded,normal
18:23:27,12-04-2026,46.106.37.209,token refreshed successfully,normal
18:23:28,12-04-2026,33.152.51.178,user logged out,normal
18:23:29,12-04-2026,46.170.105.232,api call completed,normal
18:23:30,12-04-2026,174.14.64.234,connection established successfully,normal
18:23:31,12-04-2026,136.155.163.202,session reopened after timeout,normal
18:23:32,12-04-2026,26.148.127.38,query executed successfully,normal
18:23:33,12-04-2026,195.88.11.40,session started,normal
18:23:34,12-04-2026,72.143.176.55,brief database connection retry success,normal
18:23:35,12-04-2026,45.33.32.156,failed login attempt,brute_force
18:23:36,12-04-2026,142.81.51.117,failed login attempt then success,normal
18:23:37,12-04-2026,72.143.176.55,query executed successfully,normal
18:23:38,12-04-2026,218.223.250.64,failed login attempt then success,normal
18:23:39,12-04-2026,176.141.232.115,session started,normal
18:23:40,12-04-2026,51.185.17.166,user profile loaded,normal
18:23:41,12-04-2026,33.152.51.178,data fetched from database,normal
18:23:42,12-04-2026,218.223.250.64,api call completed,normal
18:23:43,12-04-2026,246.242.126.16,normal authentication success,normal
18:23:44,12-04-2026,167.191.211.39,brief database connection retry success,normal
18:23:45,12-04-2026,198.51.100.1,failed login attempt,brute_force
18:23:46,12-04-2026,174.14.64.234,session closed normally,normal
18:23:47,12-04-2026,182.75.121.20,file read successfully,normal
18:23:48,12-04-2026,46.106.37.209,api call completed,normal
18:23:49,12-04-2026,229.232.112.198,token refreshed successfully,normal
18:23:50,12-04-2026,48.27.75.83,connection established successfully,normal
18:23:51,12-04-2026,26.148.127.38,normal authentication success,normal
18:23:52,12-04-2026,176.141.232.115,password verified successfully,normal
18:23:53,12-04-2026,130.176.115.56,connection established successfully,normal
18:23:54,12-04-2026,71.61.89.100,session started,normal
18:23:55,12-04-2026,192.168.66.66,sql injection attempt detected,sql_injection
18:23:56,12-04-2026,46.170.105.232,api call completed,normal
18:23:57,12-04-2026,33.152.51.178,user profile loaded,normal
18:23:58,12-04-2026,136.85.132.219,login from new ip verified,normal
18:23:59,12-04-2026,51.185.17.166,connection established successfully,normal
18:24:00,12-04-2026,99.217.173.185,data fetched from database,normal
18:24:01,12-04-2026,224.191.139.233,password verified successfully,normal
18:24:02,12-04-2026,136.85.132.219,failed login attempt then success,normal
18:24:03,12-04-2026,19.20.123.102,login successful,normal
18:24:04,12-04-2026,165.158.93.160,login successful,normal
18:24:05,12-04-2026,45.33.32.156,multiple session spam from single ip,session_spam
18:24:06,12-04-2026,37.217.165.38,request processed successfully,normal
18:24:07,12-04-2026,229.232.112.198,request processed successfully,normal
18:24:08,12-04-2026,176.202.13.213,user profile loaded,normal
18:24:09,12-04-2026,38.143.62.148,user profile loaded,normal
18:24:10,12-04-2026,46.170.105.232,cache hit for request,normal
18:24:11,12-04-2026,195.88.11.40,login successful,normal
18:24:12,12-04-2026,38.143.62.148,cache hit for request,normal
18:24:13,12-04-2026,174.14.64.234,cache hit for request,normal
18:24:14,12-04-2026,48.27.75.83,normal authentication success,normal
18:24:15,12-04-2026,203.0.113.42,database connection failed repeatedly,db_failure
18:24:16,12-04-2026,246.242.126.16,session started,normal
18:24:17,12-04-2026,167.191.211.39,login successful,normal
18:24:18,12-04-2026,108.227.121.91,query executed successfully,normal
18:24:19,12-04-2026,46.170.105.232,file read successfully,normal
18:24:20,12-04-2026,226.53.6.38,request processed successfully,normal
18:24:21,12-04-2026,182.243.140.180,token refreshed successfully,normal
18:24:22,12-04-2026,138.171.135.141,normal authentication success,normal
18:24:23,12-04-2026,176.141.232.115,cache hit for request,normal
18:24:24,12-04-2026,176.141.232.115,file read successfully,normal
18:24:25,12-04-2026,198.51.100.1,multiple session spam from single ip,session_spam
18:24:26,12-04-2026,108.227.121.91,user profile loaded,normal
18:24:27,12-04-2026,99.217.173.185,query executed successfully,normal
18:24:28,12-04-2026,33.152.51.178,request processed successfully,normal
18:24:29,12-04-2026,48.27.75.83,brief database connection retry success,normal
18:24:30,12-04-2026,165.158.93.160,cache hit for request,normal
18:24:31,12-04-2026,165.158.93.160,connection established successfully,normal
18:24:32,12-04-2026,35.95.101.46,token refreshed successfully,normal
18:24:33,12-04-2026,127.198.191.76,normal authentication success,normal
18:24:34,12-04-2026,210.62.15.173,file read successfully,normal
18:24:35,12-04-2026,45.33.32.156,memory overflow critical error,memory_overflow
18:24:36,12-04-2026,38.143.62.148,login from new ip verified,normal
18:24:37,12-04-2026,153.181.113.22,api call completed,normal
18:24:38,12-04-2026,45.76.212.250,failed login attempt then success,normal
18:24:39,12-04-2026,167.191.211.39,login from new ip verified,normal
18:24:40,12-04-2026,25.193.35.60,cache hit for request,normal
18:24:41,12-04-2026,210.62.15.173,session reopened after timeout,normal
18:24:42,12-04-2026,35.95.101.46,login successful,normal
18:24:43,12-04-2026,226.53.6.38,request processed successfully,normal
18:24:44,12-04-2026,71.61.89.100,user profile loaded,normal
18:24:45,12-04-2026,103.21.244.0,failed login attempt,brute_force
18:24:46,12-04-2026,182.75.121.20,user profile loaded,normal
18:24:47,12-04-2026,208.72.74.208,user logged out,normal
18:24:48,12-04-2026,31.143.127.173,session closed normally,normal
18:24:49,12-04-2026,176.202.13.213,password verified successfully,normal
18:24:50,12-04-2026,31.143.127.173,connection established successfully,normal
18:24:51,12-04-2026,48.26.189.91,user profile loaded,normal
18:24:52,12-04-2026,229.232.112.198,connection established successfully,normal
18:24:53,12-04-2026,174.14.64.234,user profile loaded,normal
18:24:54,12-04-2026,218.223.250.64,token refreshed successfully,normal
18:24:55,12-04-2026,192.168.66.66,cpu usage spike 98 percent,cpu_spike
18:24:56,12-04-2026,46.106.37.209,token refreshed successfully,normal
18:24:57,12-04-2026,182.243.140.180,login successful,normal
18:24:58,12-04-2026,35.95.101.46,failed login attempt then success,normal
18:24:59,12-04-2026,48.27.75.83,password verified successfully,normal
18:25:00,12-04-2026,31.143.127.173,cache hit for request,normal
18:25:01,12-04-2026,37.108.227.153,session reopened after timeout,normal
18:25:02,12-04-2026,153.181.113.22,file read successfully,normal
18:25:03,12-04-2026,210.62.15.173,password verified successfully,normal
18:25:04,12-04-2026,201.207.59.205,api call completed,normal
18:25:05,12-04-2026,45.33.32.156,privilege escalation attempt root access,privilege_escalation
18:25:06,12-04-2026,226.53.6.38,user profile loaded,normal
18:25:07,12-04-2026,33.152.51.178,user profile loaded,normal
18:25:08,12-04-2026,72.143.176.55,user profile loaded,normal
18:25:09,12-04-2026,201.207.59.205,password verified successfully,normal
18:25:10,12-04-2026,248.128.99.128,user profile loaded,normal
18:25:11,12-04-2026,182.75.121.20,session reopened after timeout,normal
18:25:12,12-04-2026,45.76.212.250,normal authentication success,normal
18:25:13,12-04-2026,45.76.212.250,login successful,normal
18:25:14,12-04-2026,142.81.51.117,cache hit for request,normal
18:25:15,12-04-2026,203.0.113.42,privilege escalation attempt root access,privilege_escalation
18:25:16,12-04-2026,130.176.115.56,api call completed,normal
18:25:17,12-04-2026,165.158.93.160,session started,normal
18:25:18,12-04-2026,182.243.140.180,query executed successfully,normal
18:25:19,12-04-2026,201.207.59.205,cache hit for request,normal
18:25:20,12-04-2026,248.128.99.128,session started,normal
18:25:21,12-04-2026,153.181.113.22,failed login attempt then success,normal
18:25:22,12-04-2026,176.202.13.213,login successful,normal
18:25:23,12-04-2026,207.50.162.192,session closed normally,normal
18:25:24,12-04-2026,178.17.243.30,api call completed,normal
18:25:25,12-04-2026,192.168.66.66,ddos request flood 5000 requests per second,ddos
18:25:26,12-04-2026,167.191.211.39,password verified successfully,normal
18:25:27,12-04-2026,46.106.37.209,login successful,normal
18:25:28,12-04-2026,51.185.17.166,user profile loaded,normal
18:25:29,12-04-2026,246.242.126.16,data fetched from database,normal
18:25:30,12-04-2026,26.148.127.38,cache hit for request,normal
18:25:31,12-04-2026,37.217.165.38,brief database connection retry success,normal
18:25:32,12-04-2026,46.170.105.232,cache hit for request,normal
18:25:33,12-04-2026,87.55.211.18,request processed successfully,normal
18:25:34,12-04-2026,207.50.162.192,login from new ip verified,normal
18:25:35,12-04-2026,198.51.100.1,data exfiltration large file transfer 2gb,data_exfiltration
18:25:36,12-04-2026,87.55.211.18,password verified successfully,normal
18:25:37,12-04-2026,164.24.157.210,query executed successfully,normal
18:25:38,12-04-2026,201.207.59.205,session reopened after timeout,normal
18:25:39,12-04-2026,201.207.59.205,login from new ip verified,normal
18:25:40,12-04-2026,130.176.115.56,normal authentication success,normal
18:25:41,12-04-2026,229.232.112.198,password verified successfully,normal
18:25:42,12-04-2026,31.143.127.173,user profile loaded,normal
18:25:43,12-04-2026,48.26.189.91,session reopened after timeout,normal
18:25:44,12-04-2026,108.227.121.91,brief database connection retry success,normal
18:25:45,12-04-2026,45.33.32.156,failed login attempt,brute_force
18:25:46,12-04-2026,136.85.132.219,session closed normally,normal
18:25:47,12-04-2026,224.191.139.233,session closed normally,normal
18:25:48,12-04-2026,35.95.101.46,user logged out,normal
18:25:49,12-04-2026,45.76.212.250,session reopened after timeout,normal
18:25:50,12-04-2026,45.76.212.250,connection established successfully,normal
18:25:51,12-04-2026,207.50.162.192,file read successfully,normal
18:25:52,12-04-2026,229.232.112.198,query executed successfully,normal
18:25:54,12-04-2026,99.217.173.185,token refreshed successfully,normal
18:25:55,12-04-2026,72.143.176.55,token refreshed successfully,normal
18:25:56,12-04-2026,192.168.66.66,failed login attempt,brute_force
18:25:57,12-04-2026,48.26.189.91,login successful,normal
18:25:58,12-04-2026,218.223.250.64,cache hit for request,normal
18:25:59,12-04-2026,99.217.173.185,cache hit for request,normal
18:26:00,12-04-2026,176.141.232.115,user logged out,normal
18:26:01,12-04-2026,31.143.127.173,normal authentication success,normal
18:26:02,12-04-2026,153.181.113.22,api call completed,normal
18:26:03,12-04-2026,165.158.93.160,session closed normally,normal
18:26:04,12-04-2026,176.202.13.213,user profile loaded,normal
18:26:05,12-04-2026,178.17.243.30,password verified successfully,normal
18:26:06,12-04-2026,45.33.32.156,multiple session spam from single ip,session_spam
18:26:07,12-04-2026,138.171.135.141,session reopened after timeout,normal
18:26:08,12-04-2026,195.88.11.40,session started,normal
18:26:09,12-04-2026,130.176.115.56,data fetched from database,normal
